,Country,City,AccentCity,Region,Population,Latitude,Longitude
877355,es,pinto,Pinto,29,34665,40.240899,-3.696467
877417,es,plasencia,Plasencia,59,40337,43.173899,-2.411053
877555,es,ponferrada,Ponferrada,55,61134,42.546638,-6.596187
877569,es,pontevedra,Pontevedra,58,77595,42.433333,-8.633333
877681,es,portugalete,Portugalete,59,50964,43.319379,-3.020307
877750,es,pozoblanco,Pozoblanco,51,16534,38.379061,-4.848268
877786,es,pozuelo de alarcon,Pozuelo de Alarcón,29,83173,40.432931,-3.813375
877867,es,pravia,Pravia,34,9132,43.492473,-6.111303
877876,es,premia de mar,Premiá de Mar,56,28455,41.492256,2.359029
877900,es,priego de cordoba,Priego de Córdoba,51,22604,37.436801,-4.196104
878088,es,puerto de la cruz,Puerto de la Cruz,53,29039,28.383333,-16.55
878102,es,puerto del rosario,Puerto del Rosario,53,23184,28.50038,-13.862719
878121,es,puertollano,Puertollano,54,49130,38.6889,-4.108297
878126,es,puerto lumbreras,Puerto Lumbreras,31,12542,37.562904,-1.810008
878139,es,puerto real,Puerto Real,51,36946,36.528604,-6.191022
878213,es,punta umbria,Punta Umbría,51,12578,37.182131,-6.96605
878656,es,redondela,Redondela,58,29583,42.283366,-8.609603
878706,es,reinosa,Reinosa,39,10960,42.999585,-4.138007
878791,es,requena,Requena,60,20428,39.483333,-1.1
878832,es,reus,Reus,56,97508,41.155913,1.107423
878875,es,rianxo,Rianxo,58,11793,42.649765,-8.81763
879003,es,rincon de la victoria,Rincón de la Victoria,51,27924,36.716141,-4.287813
879104,es,ripollet,Ripollet,56,32670,41.496859,2.157387
879105,es,ripoll,Ripoll,56,12047,42.20033,2.190467
879301,es,ronda,Ronda,51,38040,36.746115,-5.161443
879313,es,roquetas de mar,Roquetas de Mar,51,54665,36.764072,-2.615144
879341,es,rota,Rota,51,25867,36.622363,-6.358589
879400,es,rubi,Rubí,56,66084,41.492256,2.033047
879451,es,rute,Rute,51,10113,37.32617,-4.367592
879461,es,sabadell,Sabadell,56,198589,41.54329,2.109423
879503,es,sada,Sada,58,11573,43.356187,-8.257964
879546,es,salamanca,Salamanca,55,155175,40.9681,-5.66202
879652,es,salobrena,Salobreña,51,10725,36.742774,-3.587171
879656,es,salou,Salou,56,16075,41.076036,1.139829
879666,es,salt,Salt,56,24145,41.973982,2.791613
879759,es,san andres del rabanedo,San Andrés del Rabanedo,55,25618,42.611745,-5.616709
879814,es,san bartolome de tirajana,San Bartolomé de Tirajana,53,37575,27.923673,-15.573557
879820,es,san bartolome,San Bartolomé,53,14185,29.001726,-13.611669
880046,es,san fernando de henares,San Fernando de Henares,29,40089,40.423857,-3.53261
880047,es,san fernando,San Fernando,51,90936,36.4759,-6.198166
880104,es,san javier,San Javier,31,22276,37.804917,-0.8373
880126,es,san juan de aznalfarache,San Juan de Aznalfarache,51,19848,37.358125,-6.037314
880232,es,san lorenzo de el escorial,San Lorenzo de El Escorial,29,14422,40.593993,-4.144851
880259,es,sanlucar de barrameda,Sanlúcar de Barrameda,51,62213,36.778081,-6.351504
880261,es,sanlucar la mayor,Sanlúcar la Mayor,51,11143,37.38714,-6.201059
880522,es,san pedro del pinatar,San Pedro del Pinatar,31,18460,37.83399,-0.791974
880625,es,san roque,San Roque,51,24198,36.210667,-5.38415
880652,es,san sebastian de los reyes,San Sebastián de los Reyes,29,69954,40.550535,-3.626052
880693,es,santa brigida,Santa Brígida,53,19158,28.031968,-15.50425
880734,es,santa comba,Santa Comba,58,10896,43.033062,-8.80925
880757,es,santa cruz de la palma,Santa Cruz de la Palma,53,20501,28.682798,-17.763732
880781,es,santa cruz de tenerife,Santa Cruz de Tenerife,53,193852,28.460238,-16.280616
880826,es,santa eulalia del rio,Santa Eulalia del Río,07,22876,38.985192,1.535644
880883,es,santa lucia,Santa Lucía,53,51877,27.911307,-15.543416
881029,es,santa marta de tormes,Santa Marta de Tormes,55,11998,40.950653,-5.627226
881039,es,santander,Santander,39,185209,43.464722,-3.804444
881072,es,santa pola,Santa Pola,60,23111,38.19273,-0.557868
881092,es,sant cugat del valles,Sant Cugat del Vallès,56,65118,41.471379,2.081834
881110,es,sant feliu de guixols,Sant Feliu de Guíxols,56,20457,41.78476,3.028978
881123,es,santiago de compostela,Santiago de Compostela,58,91141,42.880035,-8.544826
881234,es,sant just desvern,Sant Just Desvern,56,14987,41.383333,2.083333
881253,es,santomera,Santomera,31,12979,38.06173,-1.048283
881256,es,santona,Santoña,39,11328,43.443864,-3.457571
881293,es,sant pere de ribes,Sant Pere de Ribes,56,24997,41.26126,1.772075
881519,es,segovia,Segovia,55,55902,40.948083,-4.11839
881707,es,sestao,Sestao,59,31709,43.310134,-3.002997
881729,es,sevilla,Sevilla,51,686647,37.382408,-5.976133
881744,es,siero,Siero,34,47199,43.39228,-5.66335
881799,es,silla,Silla,60,17303,39.366667,-0.416667
881800,es,silleda,Silleda,58,9271,42.696049,-8.24653
881861,es,sitges,Sitges,56,21495,41.237045,1.807316
881916,es,socuellamos,Socuéllamos,54,11920,39.285808,-2.792055
881978,es,soller,Sóller,07,12658,39.768206,2.716361
882035,es,sopelana,Sopelana,59,10688,43.380522,-2.982098
882052,es,soria,Soria,55,35129,41.764335,-2.468251
882199,es,sueca,Sueca,60,27085,39.2,-0.316667
882290,es,tacoronte,Tacoronte,53,22289,28.476885,-16.410157
882292,es,tafalla,Tafalla,32,10881,42.526865,-1.674461
882335,es,talavera de la reina,Talavera de la Reina,54,82704,39.963485,-4.830759
882417,es,tarancon,Tarancón,54,12081,40.008511,-3.00731
882430,es,tarazona,Tarazona,52,10935,41.903426,-1.726016
882444,es,tarifa,Tarifa,51,16179,36.01393,-5.606949
882451,es,tarragona,Tarragona,56,128391,41.116667,1.25
882455,es,tarrega,Tárrega,56,13663,41.648983,1.1396
882489,es,teguise,Teguise,53,13491,29.060494,-13.563975
882539,es,telde,Telde,53,95503,27.992425,-15.419153
882570,es,teo,Teo,58,15623,42.75,-8.5
882584,es,teror,Teror,53,13110,28.064123,-15.548099
